City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
106,Kavaratti,IN,80.73,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
108,Sumenep,ID,80.13,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
110,San Patricio,US,84.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
112,Angoche,MZ,80.78,overcast clouds,-16.2325,39.9086,Guest House HESADA
113,East London,ZA,62.58,light rain,-33.0153,27.9116,Tu Casa
114,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
115,Bintulu,MY,76.12,overcast clouds,3.1667,113.0333,900 Boutique INN
116,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
117,Brokopondo,SR,85.84,overcast clouds,4.75,-55.1667,Matu Island
119,Cape Coast,GH,81.05,clear sky,5.1053,-1.2466,Samrit Hotel
121,Kouango,CF,76.39,clear sky,4.9934,19.9619,
122,Port Elizabeth,ZA,58.1,clear sky,-33.918,25.5701,39 On Nile Guest House
124,Isangel,VU,73.51,light rain,-19.55,169.2667,Tanna Lodge
125,Kaitangata,NZ,56.55,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
127,Neosho,US,65.26,overcast clouds,36.869,-94.368,Best Western Big Spring Lodge
130,Carballo,ES,51.49,overcast clouds,43.213,-8.691,Pazo do Souto
131,Binga,ZW,80.19,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
133,Atar,MR,86.25,overcast clouds,20.5169,-13.0499,Oumou Elghoura
134,Bredasdorp,ZA,60.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
135,Martin,US,73.96,overcast clouds,27.0837,-80.4164,
136,Te Anau,NZ,53.55,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
138,Oussouye,SN,78.75,few clouds,12.485,-16.5469,Auberge du Routard
139,Kousseri,CM,83.48,clear sky,12.0769,15.0306,Le Pilotis
140,Atuona,PF,77.25,light rain,-9.8,-139.0333,Villa Enata
141,Camiri,BO,81.57,overcast clouds,-20.05,-63.5167,J R Hotel
142,Alta Floresta,BR,74.73,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
143,Kruisfontein,ZA,55.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
144,Huarmey,PE,70.81,overcast clouds,-10.0681,-78.1522,Hotel Miramar
146,Port Alfred,ZA,62.29,light rain,-33.5906,26.891,The Halyards Hotel
147,Codrington,AU,55.94,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
149,Sao Filipe,CV,78.24,clear sky,14.8961,-24.4956,Hotel Xaguate
150,Port Lincoln,AU,59.49,clear sky,-34.7333,135.8667,Port Lincoln Hotel
151,Lorengau,PG,80.96,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
152,Rabak,SD,79.34,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
154,Waiouru,NZ,59.16,scattered clouds,-39.4833,175.6667,Tāwhiri
155,Rumphi,MW,75.29,few clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
156,Sorong,ID,81.14,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
158,Joao Pinheiro,BR,85.35,overcast clouds,-17.7425,-46.1725,Hotel Santos
160,Ancud,CL,65.43,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
162,Hilo,US,81.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
164,Sakakah,SA,60.91,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
166,Cotonou,BJ,82.02,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
167,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
168,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
169,Bubaque,GW,82.89,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
171,Faanui,PF,80.74,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Raga,SS,76.91,clear sky,8.4596,25.678,
174,Victoria,HK,67.32,clear sky,22.2855,114.1577,Mini Hotel Central
175,Sualkuchi,IN,62.58,mist,26.17,91.5709,Silk Route Spa & Resort
178,Butaritari,KI,82.29,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
180,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
183,Riachao Das Neves,BR,79.65,overcast clouds,-11.7461,-44.91,Casa Costa
184,Caravelas,BR,77.88,light rain,-17.7125,-39.2481,Pousada dos Navegantes
185,Ahmadpur,IN,71.76,overcast clouds,18.7,76.9333,Hengane (Pitashri Niwas)
186,Mar Del Plata,AR,69.87,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
187,Bonthe,SL,79.32,moderate rain,7.5264,-12.505,Bonthe Holiday Village
192,Ghanzi,BW,78.62,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
193,Chissamba,AO,64.0,light rain,-12.1667,17.3333,
194,Tabou,CI,80.15,scattered clouds,4.423,-7.3528,hotêl doufoulougou
195,Khandbari,NP,55.96,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
197,Kabare,CD,62.06,broken clouds,-2.4683,28.8242,Hôtel Panorama
198,Esperance,AU,55.96,few clouds,-33.8667,121.9,Hospitality Esperance
199,Sabha,LY,73.22,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
200,Maumere,ID,81.03,overcast clouds,-8.6199,122.2111,Sylvia Hotel
201,Camacha,PT,62.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
202,Vanimo,PG,76.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
203,Fomboni,KM,81.95,clear sky,-12.28,43.7425,Auberge les abou
204,Soke,ML,85.42,few clouds,13.598,-5.9386,
206,Nautla,MX,78.87,few clouds,20.2167,-96.7833,Casa Blanca
208,Pandan,PH,80.01,overcast clouds,14.0453,124.1694,Bonifacio Lodge
209,Iskele,TR,55.42,scattered clouds,39.484,26.9278,Hotel Nova
210,Bengkulu,ID,74.73,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
211,Kieta,PG,79.43,few clouds,-6.2167,155.6333,Uruna Bay Retreat
214,Matay,EG,66.69,clear sky,28.419,30.7792,Nag Aespen
216,Lakatoro,VU,78.91,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
217,Macau,MO,67.06,clear sky,22.2006,113.5461,Grand Emperor Hotel
218,Manggar,ID,77.94,overcast clouds,-2.8833,108.2667,Guest Hotel
220,Baghdad,IQ,63.79,broken clouds,33.3406,44.4009,Baghdad Hotel
221,Kapoeta,SS,83.93,scattered clouds,4.7717,33.5903,Eastgate Hotel
224,Pauini,BR,83.86,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
227,Conceicao Da Barra,BR,77.85,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
228,Banda Aceh,ID,76.71,overcast clouds,5.5577,95.3222,Sulthan Hotel International
229,Batesville,US,65.89,scattered clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
231,Airai,TL,62.1,overcast clouds,-8.9266,125.4092,Juvinal Martin
233,Ikom,NG,78.48,few clouds,5.9667,8.7063,Reho Farm & Resort
